Content-Type: text/x-zim-wiki
Wiki-Format: zim 0.4
Creation-Date: 2018-10-09T14:11:49+03:00

====== сборная солянка ======
Created Tuesday 09 October 2018

 сортировка станций/систем по удаленности от LHS 3447
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	7 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	7 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Readdy Orbital	 LP 390-16	Federation	L	2,970 ls	6 hours	38.87 ly
 Chapman Hub	 LP 339-7	Federation	M	4,385 ls	10 days	39.11 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 McCulley Gateway	 Meticuli	Federation	L	3,259 ls	1 day	39.42 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Blackman Station	 17 Cygni	Federation	L	10,031 ls	11 days	39.46 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Phillips Terminal	 Lwen	Federation	M	2,848 ls	15 days	39.57 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Oliver Enterprise	 Lwen	Federation	L	44 ls	19 hours	39.57 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Roosa Gateway	 LHS 3589	Federation	L	1,603 ls	20 hours	39.59 ly
 Ivanov Terminal	 LHS 3589	Federation	M	1,613 ls	8 days	39.59 ly
 Reynolds Ring	 Lencali	Federation	L	275 ls	3 days	39.70 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Rushd Gateway	 LFT 1492	Independent	L	29,416 ls	13 hours	40.14 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Ramanujan Dock	 Ninsun	Independent	L	971 ls	2 days	40.35 ly
 Bixby Port	 G 139-21	Alliance	L	7 ls	2 days	40.48 ly
 Bixby Port	 G 139-21	Alliance	L	7 ls	2 days	40.48 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly
 Bondar Terminal	 Togher	Independent	L	109,193 ls	2 days	40.66 ly 
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Garratt Station	 Frey	Federation	L	2,627 ls	1 hour	40.81 ly
 Bradley Station	 Gunnovale	Independent	L	861 ls	9 hours	41.02 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Meitner Ring	 Dimoco	Federation	L	454 ls	59 days	41.09 ly
 Lee City	 LP 926-40	Independent	L	1,449 ls	5 days	41.18 ly
 Lee City	 LP 926-40	Independent	L	1,449 ls	5 days	41.18 ly
 Lee City	 LP 926-40	Independent	L	1,449 ls	5 days	41.18 ly
 Lee City	 LP 926-40	Independent	L	1,449 ls	5 days	41.18 ly
 Lee City	 LP 926-40	Independent	L	1,449 ls	5 days	41.18 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Blackwell Hub	 Yorua	Independent	L	103 ls	9 hours	41.25 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Aksyonov Orbital	 Pacalite	Federation	L	345,269 ls	6 hours	41.32 ly
 Semeonis Dock	 LHS 6326	Federation	L	355 ls	3 days	41.79 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Viktorenko Station	 VVO 19	Federation	L	115 ls	1 day	42.08 ly
 Viktorenko Station	 VVO 19	Federation	L	115 ls	1 day	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Viktorenko Station	 VVO 19	Federation	L	115 ls	1 day	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Viktorenko Station	 VVO 19	Federation	L	115 ls	1 day	42.08 ly
 Viktorenko Station	 VVO 19	Federation	L	115 ls	1 day	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Leavitt Port	 VVO 19	Independent	L	147 ls	17 days	42.08 ly
 Viktorenko Station	 VVO 19	Federation	L	115 ls	1 day	42.08 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Wheeler Horizons	 Asgaa	Federation	L	870 ls	10 hours	42.50 ly
 Rawn City	 Vertumnus	Federation	L	140 ls	19 hours	42.90 ly
 Rawn City	 Vertumnus	Federation	L	140 ls	19 hours	42.90 ly
 Rawn City	 Vertumnus	Federation	L	140 ls	19 hours	42.90 ly
 Rawn City	 Vertumnus	Federation	L	140 ls	19 hours	42.90 ly
 Rawn City	 Vertumnus	Federation	L	140 ls	19 hours	42.90 ly
 Rawn City	 Vertumnus	Federation	L	140 ls	19 hours	42.90 ly
 Watts Co-operative	 Skinfaxi	Independent	L	903 ls	4 mins	43.02 ly
 Watts Co-operative	 Skinfaxi	Independent	L	903 ls	3 mins	43.02 ly
 Watts Co-operative	 Skinfaxi	Independent	L	903 ls	6 mins	43.02 ly
 Wallace Hub	 Sveinbarn	Federation	M	1,067 ls	23 days	43.13 ly
 Wallace Hub	 Sveinbarn	Federation	M	1,067 ls	23 days	43.13 ly
 Wallace Hub	 Sveinbarn	Federation	M	1,067 ls	23 days	43.13 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Levchenko City	 Ross 145	Federation	L	2,282 ls	3 days	43.30 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Steiner Hub	 Ho Hsi	Independent	M	34 ls	3 days	43.50 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Steiner Hub	 Ho Hsi	Independent	M	34 ls	3 days	43.50 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Steiner Hub	 Ho Hsi	Independent	M	34 ls	3 days	43.50 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Steiner Hub	 Ho Hsi	Independent	M	34 ls	3 days	43.50 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Steiner Hub	 Ho Hsi	Independent	M	34 ls	3 days	43.50 ly
 Hand Ring	 Ho Hsi	Independent	L	19 ls	7 hours	43.50 ly
 Steiner Hub	 Ho Hsi	Independent	M	34 ls	3 days	43.50 ly
 Tull Orbital	 Bandjigali	Independent	L	41 ls	10 hours	43.54 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	11 mins	44.08 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	10 mins	44.08 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	3 mins	44.08 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	14 mins	44.08 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	13 mins	44.08 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	10 secs	44.08 ly
 Zhen Dock	 Xihe	Federation	L	1,950 ls	5 mins	44.08 ly
 Oliver Dock	 Ayoro	Federation	L	1,505 ls	2 days	44.20 ly
 Aksyonov Orbital	 Yu Di Yi	Federation	L	16 ls	2 days	44.34 ly
 Aksyonov Orbital	 Yu Di Yi	Federation	L	16 ls	2 days	44.34 ly
 Aksyonov Orbital	 Yu Di Yi	Federation	L	16 ls	2 days	44.34 ly
 Aksyonov Orbital	 Yu Di Yi	Federation	L	16 ls	2 days	44.34 ly
 Aksyonov Orbital	 Yu Di Yi	Federation	L	16 ls	2 days	44.34 ly
 Aksyonov Orbital	 Yu Di Yi	Federation	L	16 ls	2 days	44.34 ly
 Gerst Ring	 BD+22 3579	Independent	L	341 ls	111 days	45.29 ly
 Gerst Ring	 BD+22 3579	Independent	L	341 ls	111 days	45.29 ly
 Gerst Ring	 BD+22 3579	Independent	L	341 ls	111 days	45.29 ly
 Gerst Ring	 BD+22 3579	Independent	L	341 ls	111 days	45.29 ly
 Gerst Ring	 BD+22 3579	Independent	L	341 ls	111 days	45.29 ly
 Dobrovolski Ring	 G 126-31	Federation	L	105 ls	9 days	45.31 ly
 Dobrovolski Ring	 G 126-31	Federation	L	105 ls	9 days	45.31 ly
 Dobrovolski Ring	 G 126-31	Federation	L	105 ls	9 days	45.31 ly
 Dobrovolski Ring	 G 126-31	Federation	L	105 ls	9 days	45.31 ly
 Dobrovolski Ring	 G 126-31	Federation	L	105 ls	9 days	45.31 ly
 Dobrovolski Ring	 G 126-31	Federation	L	105 ls	9 days	45.31 ly
 Regiomontanus Hub	 Derrim	Federation	M	3,725 ls	17 days	45.37 ly
 Nachtigal Hub	 Derrim	Federation	L	1,568 ls	2 days	45.37 ly
 Regiomontanus Hub	 Derrim	Federation	M	3,725 ls	17 days	45.37 ly
 Regiomontanus Hub	 Derrim	Federation	M	3,725 ls	17 days	45.37 ly
 Nachtigal Hub	 Derrim	Federation	L	1,568 ls	2 days	45.37 ly
 Nachtigal Hub	 Derrim	Federation	L	1,568 ls	2 days	45.37 ly
 Regiomontanus Hub	 Derrim	Federation	M	3,725 ls	17 days	45.37 ly
 Regiomontanus Hub	 Derrim	Federation	M	3,725 ls	17 days	45.37 ly
 Regiomontanus Hub	 Derrim	Federation	M	3,725 ls	17 days	45.37 ly
 Nachtigal Hub	 Derrim	Federation	L	1,568 ls	2 days	45.37 ly
 Vaugh Enterprise	 Seurrion	Federation	L	112 ls	1 day	45.94 ly
 Dutton Station	 Ho Hsien	Federation	L	670 ls	18 hours	46.30 ly
 Dutton Station	 Ho Hsien	Federation	L	670 ls	18 hours	46.30 ly
 Dutton Station	 Ho Hsien	Federation	L	670 ls	18 hours	46.30 ly
 Dutton Station	 Ho Hsien	Federation	L	670 ls	18 hours	46.30 ly
 Ferguson Hub	 63 G. Capricorni	Federation	L	1,111 ls	1 day	46.39 ly
 Ride Ring	 Rotanev	Independent	L	3,283 ls	8 hours	46.63 ly
 Ride Ring	 Rotanev	Independent	L	3,283 ls	8 hours	46.63 ly
 Ride Ring	 Rotanev	Independent	L	3,283 ls	8 hours	46.63 ly
 Ride Ring	 Rotanev	Independent	L	3,283 ls	8 hours	46.63 ly
 Ride Ring	 Rotanev	Independent	L	3,283 ls	8 hours	46.63 ly
 Ride Ring	 Rotanev	Independent	L	3,283 ls	8 hours	46.63 ly
 Duffy Dock	 Ascella	Federation	L	1,655 ls	2 days	46.94 ly
 Ordway Ring	 Arigens	Independent	L	369 ls	5 hours	47.95 ly
 Ordway Ring	 Arigens	Independent	L	369 ls	5 hours	47.95 ly
 Sarafanov Landing	 V749 Herculis	Federation	M	211,876 ls	119 days	48.87 ly
 Pauling Gateway	 V749 Herculis	Federation	L	213,076 ls	3 days	48.87 ly
 Sarafanov Landing	 V749 Herculis	Federation	M	211,876 ls	119 days	48.87 ly
 Pauling Gateway	 V749 Herculis	Federation	L	213,076 ls	3 days	48.87 ly
 Sarafanov Landing	 V749 Herculis	Federation	M	211,876 ls	119 days	48.87 ly
 Strekalov Hub	 Punna	Federation	L	15 ls	17 hours	48.89 ly
 Strekalov Hub	 Punna	Federation	L	15 ls	17 hours	48.89 ly
 Savinykh Station	 BD+01 3574	Federation	L	39,671 ls	84 days	49.15 ly
 Mastracchio Orbital	 5 G. Capricorni	Independent	L	187 ls	19 hours	49.19 ly
 Cavendish Station	 Ananke	Federation	L	73,180 ls	19 days	49.21 ly
 Cavendish Station	 Ananke	Federation	L	73,180 ls	19 days	49.21 ly
 Lie Ring	 LP 685-43	Federation	L	2,353 ls	14 hours	49.33 ly
 Lie Ring	 LP 685-43	Federation	L	2,353 ls	14 hours	49.33 ly
 Lie Ring	 LP 685-43	Federation	L	2,353 ls	14 hours	49.33 ly
 Lie Ring	 LP 685-43	Federation	L	2,353 ls	14 hours	49.33 ly
 Messerschmid City	 Haghole	Federation	L	12,642 ls	4 days	49.75 ly
 Messerschmid City	 Haghole	Federation	L	12,642 ls	4 days	49.75 ly
 Messerschmid City	 Haghole	Federation	L	12,642 ls	4 days	49.75 ly
 Messerschmid City	 Haghole	Federation	L	12,642 ls	4 days	49.75 ly
 Eilenberg Ring	 Valda	Federation	L	1,030 ls	21 days	49.92 ly
 Watson Horizons	 Hyroks	Federation	L	548 ls	10 hours	49.95 ly
 Watson Horizons	 Hyroks	Federation	L	548 ls	10 hours	49.95 ly
 Watson Horizons	 Hyroks	Federation	L	548 ls	10 hours	49.95 ly
 Vela Port	 Amarak	Federation	L	1,151 ls	17 hours	49.97 ly
 Vela Port	 Amarak	Federation	L	1,151 ls	17 hours	49.97 ly
 Feustel Gateway	 44 b Ophiuchi	Federation	L	233 ls	1 day	49.97 ly
 Feustel Gateway	 44 b Ophiuchi	Federation	L	233 ls	1 day	49.97 ly
 Vela Port	 Amarak	Federation	L	1,151 ls	17 hours	49.97 ly
 Thompson Gateway	 Achelous	Federation	L	2,072 ls	17 hours	50.26 ly
 Byrd Station	 BD-17 5832	Independent	L	90 ls	13 hours	50.39 ly
 Milnor Gateway	 BD-17 5832	Independent	L	165 ls	31 days	50.39 ly
 Milnor Gateway	 BD-17 5832	Independent	L	165 ls	31 days	50.39 ly
 Bretnor Terminal	 Manbatz	Independent	L	650 ls	7 hours	50.63 ly
 Bretnor Terminal	 Manbatz	Independent	L	650 ls	8 hours	50.63 ly
 Banks Port	 Idununn	Federation	L	635 ls	74 days	51.04 ly
 Bao Gateway	 Idununn	Independent	L	472 ls	20 days	51.04 ly
 Timofeyevich Co-operative	 Avan	Independent	L	206 ls	3 days	51.09 ly
 Grissom Gateway	 Medj He	Federation	L	15,976 ls	1 day	51.17 ly
 Neumann Gateway	 Wolf 750	Federation	M	1,541 ls	70 days	51.43 ly
 Gregory Orbital	 Wolf 750	Federation	L	1,536 ls	16 days	51.43 ly
 Nikolayev Settlement	 Wolf 750	Federation	M	1,871 ls	24 days	51.43 ly
 Gregory Orbital	 Wolf 750	Federation	L	1,536 ls	16 days	51.43 ly
 Thuot Dock	 Tembala	Independent	L	11 ls	7 days	51.61 ly
 Blodgett Gateway	 Kappa Ophiuchi	Federation	L	467 ls	45 days	51.74 ly
 Koch Dock	 Kappa Ophiuchi	Independent	L	856 ls	93 days	51.74 ly
 Crown Orbital	 Pareco	Independent	L	11,538 ls	6 hours	51.78 ly
 Webb Station	 Pareco	Independent	L	11,538 ls	13 hours	51.78 ly
 Chadwick Orbital	 Kharinda	Independent	L	312 ls	4 days	51.96 ly
 Feynman Terminal	 Bhritzameno	Federation	L	1,364 ls	2 hours	51.96 ly
 Chadwick Orbital	 Kharinda	Independent	L	312 ls	4 days	51.96 ly
 Feynman Terminal	 Bhritzameno	Federation	L	1,364 ls	2 hours	51.96 ly
 Goetze Meister County [GMC HQ]	 Toor	Federation	L	389 ls	22 days	52.22 ly
 Garcia Station	 LO Pegasi	Independent	L	1,973 ls	5 hours	52.44 ly
 Leeuwenhoek Hub	 LTT 6563	Federation	L	184,338 ls	10 days	53.23 ly
 Leeuwenhoek Hub	 LTT 6563	Federation	L	184,338 ls	10 days	53.23 ly
 Dalton Orbital	 Mulachi	Independent	M	594,516 ls	68 days	53.41 ly
 Bosch Station	 V2578 Ophiuchii	Federation	L	350 ls	19 hours	53.51 ly
 Bluford Dock	 LTT 16522	Federation	L	113 ls	22 days	53.71 ly
 Schmitt Station	 LTT 7138	Federation	L	1,524 ls	4 days	54.12 ly
 Schmitt Station	 LTT 7138	Federation	L	1,524 ls	4 days	54.12 ly
 Satcher City	 LHS 5333	Federation	L	710 ls	19 hours	54.14 ly
 Zholobov Enterprise	 LTT 15278	Independent	L	764 ls	8 hours	54.28 ly
 Eyharts Orbital	 LFT 1723	Independent	L	371 ls	2 days	54.83 ly
 Jones Dock	 Caelottixa	Federation	L	57 ls	1 day	54.89 ly
 Ham Port	 Meskhenga	Federation	L	804 ls	8 days	55.34 ly
 Grunsfeld Port	 Imhotian	Independent	L	1,676 ls	2 days	55.65 ly
 Gidzenko Ring	 Chamunda	Federation	L	2,644 ls	14 hours	7.36 ly
 Gidzenko Ring	 Chamunda	Federation	L	2,644 ls	14 hours	7.36 ly
 Gidzenko Ring	 Chamunda	Federation	L	2,644 ls	15 hours	7.36 ly
